artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
The Weeknd,Blinding Lights,1,1,31,0VjIjW4GlUZAMYd2vXMi3b,False,99
SAINt JHN,Roses,4,1,15,7fPuWrlpwDcHm5aHCH5D9t,True,85
Harry Styles,Watermelon Sugar,8,2,15,6UelLqGlWMcVH1E5c4H7lY,False,94
Lil Mosey,Blueberry Faygo,9,2,21,6wJYhPfqk3KGhHRG76WzOh,True,91
Harry Styles,Adore You,6,2,30,3jjujdWJ72nww5eGnfs2E7,False,88
Post Malone,Circles,1,1,44,21jGcNKet2qwijlDFuPiPb,False,91
Lil Baby,The Bigger Picture,3,1,3,44gRhRi2OhEf7moAUj6MD1,True,86
Roddy Ricch,The Box,1,1,30,0nbXyq5TXYPCO7pr3N8S4I,True,94
Maren Morris,The Bones,12,3,41,7yFhA2fUsL2oIMWlw5DaHQ,False,76
Trevor Daniel,Falling,17,4,33,4TnjEaWOeW0eKTKIEvJyCa,False,90
Dua Lipa,Break My Heart,20,4,14,1raaNykBg1bDnWENUiglUA,False,88
Gabby Barrett,I Hope,16,4,27,23T0OX7QOiIUFShSzbJ5Uo,False,73
Luke Bryan,One Margarita,22,5,9,6NhS5LwYbJ6xD7BGvlWRJO,False,78
Surfaces,Sunday Best,19,4,18,1Cv1YLb4q0RzL6pybtaMLo,False,92
Lewis Capaldi,Before You Go,25,5,22,7ce20yLkzuXXLUhzIDoZih,False,88
Drake,Toosie Slide,1,1,13,127QTOFJsJQp5LbJbu3A1y,True,93
Sam Hunt,Hard To Forget,26,6,14,10xuH52YSXHWFwCaF1fsDd,False,75
Megan Thee Stallion,Girls In The Hood,28,6,1,6WbTTAGKrQtCQvmc5BuYfh,True,78
StaySolidRocky,Party Girl,21,5,10,5RqR4ZCCKJDcBLIn4sih9l,False,94
Chris Brown & Young Thug,Go Crazy,30,6,8,1IIKrJVP1C9N7iPtG6eOsK,True,87
Morgan Wallen,Chasin' You,16,4,23,5MwynWK9s4hlyKHqhkNn4A,False,81
BLACKPINK,How You Like That,33,7,1,3vAn0qZzdyuHamcrpkfiX3,False,89
Miranda Lambert,Bluebird,33,7,13,0kPeZAyIhIfeZNrtfjJGDB,False,76
Lil Baby,Emotionally Scarred,31,7,18,7ge7BHazYbVKi8qyZUX1Bm,True,82
Maroon 5,Memories,2,1,41,2b8fOow8UzyDFAE27YhOZM,False,90
Blake Shelton Duet With Gwen Stefani,Nobody But You,18,4,25,5M8goiFYynmNxhueYW6grR,False,75
Pop Smoke,Dior,30,6,20,79s5XnCN4TJKTVMSmOx8Ep,True,85
Maddie & Tae,Die From A Broken Heart,45,9,12,1kFpL1itkwkdhO6kcmNJra,False,73
blackbear,Hot Girl Bummer,11,3,42,7aiClxsDWFRQ0Kzk5KI5ku,True,87
Kenny Chesney,Here And Now,38,8,13,7qRVyZDt1Caftkk8CQlKtk,False,73
Florida Georgia Line,I Love My Country,48,10,11,5blHL2xSCGv00fr1DGuvEf,False,73
Jason Aldean,Got What I Got,52,11,5,4TCc369aRPRubv1m8R1TBG,False,76
6ix9ine,Gooba,3,1,8,4NhDYoQTYCdWHTvlbGVgwo,True,92
Scotty McCreery,In Between,53,11,12,2IuazAsyvbb3fFZb0Uvsmk,False,72
Jhene Aiko,P*$$y Fairy (OTW),40,8,24,48KXAIruJ07kJVCWOGohMV,True,74
Keith Urban,God Whispered Your Name,60,12,11,7Ce11Oh1kConF6UlkBWnaZ,False,74
Don Toliver,After Party,57,12,11,527k23H0A4Q0UJN3vGs0Da,True,89
Chris Janson,Done,63,13,3,693NFnfJZt16AFDaZqlflo,False,72
LOCASH,One Big Country Song,65,13,5,28uL97M3whSL1UWqr7hsNh,False,74
Travis Denning,After A Few,31,7,14,1z6wl2rwKatfmza6usanWw,False,72
Justin Moore,Why We Drink,69,14,5,4lSfhHd5Knwl8yQw2cVjAD,False,72
Beyonce,Black Parade,37,8,2,2qzUpSVI4NnPyWxbXwumTj,True,82
Lee Brice,One Of Them Girls,73,15,5,14GwnOeC9qYEKEA6uOZepa,False,76
Bad Bunny,Yo Perreo Sola,53,11,16,0SqqAgdovOE24BzxIClpjw,False,90
Kane Brown,Cool Again,68,14,5,5P3oaNpPDVLRJsL3152SEs,False,75
Katy Perry,Daisies,40,8,7,4uqh9bualXNHXXwO2wPorc,False,85
Morgan Wallen,More Than My Hometown,61,13,3,6FniJZn4agmDtPx1pKZQsa,False,79
Ashley McBryde,One Night Standards,83,17,4,47qZzTLLJcuD69AIKnquo4,False,71
AJR,Bang!,86,18,2,53BHUFdQphHiZUUG3nx9zn,False,72
Polo G,21,62,13,6,3JKgcAa7r07ocVWcV8bS0H,True,84
The Weeknd,In Your Eyes,16,4,15,7szuecWAPwGoV1e5vGu8tl,True,91
Rod Wave,Girl Of My Dreams,84,17,7,65QRS8iMQ1TsQ93fPZIZ4i,True,75
Chloe X Halle,Do It,83,17,3,1bRjwdtScY2eMe9uMmsOkG,False,78
Eric Church,Stick That In Your Country Song,92,19,1,5lH14PEjAXYuMTz0Dd4L1D,False,65
Luke Combs,Lovin' On You,93,19,1,0nYvjcSlCgjcwogQAwIwNp,False,74
Parker McCollum,Pretty Heart,94,19,2,6vC90OOjZR165Hw8CpsqEm,False,68
Juice WRLD,Righteous,11,3,10,0OyQns5ayNK2OVaES0Vb8t,True,87
Breland,My Truck,92,19,2,6jGyDvL1Rf4XfwTb25o1HN,False,70
Tim McGraw,I Called Mama,99,20,1,3YuvAPidBWldqjagOryo40,False,69
NLE Choppa,Shotta Flow 5,54,11,3,1orjH4IkSH9VrWmRCToKV8,True,82
Billie Eilish,Everything I Wanted,8,2,33,3ZCTVFBt2Brf31RLEnCkWJ,False,89
J. Cole,Snow On Tha Bluff,54,11,2,1oOEkBNp4zWnkD7nWjJdog,True,80
A Boogie Wit da Hoodie,Bleed,57,12,1,5XzombolzpiaOSTdj1W0VS,True,77
twenty one pilots,Level Of Concern,23,5,11,6xZ4Q2k2ompmDppyeESIY8,False,83
J.I.,Need Me,95,19,2,2dzja72gQodveSpguIQGJl,True,79
Lil Baby,All In,45,9,8,1ZRjLZcNTm1vUgrexBp3px,True,69
Regard,Ride It.,62,13,10,2tnVG71enUj33Ic2nFN6kZ,False,89
Meek Mill,Otherside Of America,64,13,2,3JBvJ9PwrYA1oeUzI3FMRI,True,75
Carrie Underwood,Drinking Alone,74,15,7,4objxuNfJlJHomkRIPa2Y2,False,69
Sleepy Hallow,Deep End Freestyle,80,16,2,4zTPYAf5scZdp0LnwPPeWK,True,85
Zac Brown Band,The Man Who Loves You The Most,96,20,1,58DvikiJcEjow3Skg80yxX,False,72
Tones And I,Dance Monkey,4,1,36,2XU0oxnq2qxCpomAAuJY8K,False,93
"NAV, Gunna & Travis Scott",Turks,17,4,11,7IMwEtpAiJanqF6vQteZN2,True,73
Lil Uzi Vert,That Way,20,4,12,5raTDhlbxFDnpn89bxArdH,True,78
Brantley Gilbert,Hard Days,95,19,1,2AqbOAAgaNRygNIJYcM69I,False,62
Brett Young,Catch,29,6,17,53cGGBxGPaRjP0HVUESyW5,False,70
Kane Brown,Worldwide Beautiful,100,20,1,431M98gFekRc9HdNfgWc7N,False,72
Lady Gaga,Stupid Love,5,1,10,7yBbV2k2S2uhaQc24NF2xt,False,84
Lady Gaga,Alice,84,17,1,41A89rj3GoMG6ktN37L7PG,False,79
Lil Baby,Sum 2 Prove,16,4,20,2u3EyuCqqV31woqGvO9LBz,True,76
Gunna,Wunna,57,12,1,6HY3arOe4dD8UQ0oVDJ18E,True,75
Gunna,SkyBox,65,13,2,7GwYENSg87oERcW0Wacd6m,True,73
Gunna,Argentina,67,14,1,4LkEHc33eXcXFQNwxruw7W,True,72
Gunna,Met Gala,70,14,1,4loM16743hROPC6uIJG6wM,True,72
Agust D,Daechwita,76,16,1,0H4ugk6rhnXmTl47ayy9O5,True,80
Gunna,Nasty Girl / On Camera,78,16,1,2f8y4CuG57UJEmkG3ujd0D,True,73
Gunna,MOTW,84,17,1,0JZUiKHoEDpsLvXfeqbZxV,True,69
Gunna,Gimmick,86,18,1,3IaxObCWKEaGtIT78GsEpP,True,67
Polo G,Martin & Gina,61,13,2,1VLtjHwRWOVJiE5Py7JxoQ,True,78
Gunna,Feigning,98,20,1,7qaoXmlsSrndaQeDRPpOeW,True,68
Lewis Capaldi,Someone You Loved,1,1,54,7qEHsqek33rTcFNT9PFqLf,False,91
Future,Trapped In The Sun,53,11,1,6QeUzTuBoasiii8nevDciq,True,69
Future,Hard To Choose One,68,14,1,66z5CuZkqkb18VhFTRwbZk,True,68
Future,Ridin Strikers,69,14,1,6PHbWsTTlmQKF9i9VC1KFv,True,68
Future,Hitek Tek,71,15,1,5v1STk4ZTTDrhgCs6LD3nd,True,67
Future,Too Comfortable,75,15,1,0biVzpdI2z0vAxwfU9xuuA,True,70
Future,Posted With Demons,79,16,1,7enaBBJnekyUCcXRuwGEH6,True,66
Future,Touch The Sky,81,17,1,29s4u1adFGLWtGehbR5xkq,True,66
Future,One Of My,82,17,1,12ZpiGAd2uPgJiofgoZMue,True,66
Polo G,Beautiful Pain (Losin My Mind),92,19,1,4SIB2yxKoFOrbkjA4zfQbB,True,75
Polo G,33,93,19,1,2iW6Hb6kfrz2K7EhPibFiq,True,74
Polo G,I Know,95,19,1,40j4RoqmLiivqzRObbQ4BF,True,74
Moneybagg Yo,Me Vs Me,88,18,2,1lUTmmPMAsxZBR2iK9CKDF,True,69
