,artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
0,The Weeknd,Blinding Lights,1,1,31,0VjIjW4GlUZAMYd2vXMi3b,0.0,99
1,SAINt JHN,Roses,4,1,15,7fPuWrlpwDcHm5aHCH5D9t,1.0,85
2,Harry Styles,Watermelon Sugar,8,2,15,6UelLqGlWMcVH1E5c4H7lY,0.0,94
3,Lil Mosey,Blueberry Faygo,9,2,21,6wJYhPfqk3KGhHRG76WzOh,1.0,91
4,Harry Styles,Adore You,6,2,30,3jjujdWJ72nww5eGnfs2E7,0.0,88
5,Post Malone,Circles,1,1,44,21jGcNKet2qwijlDFuPiPb,0.0,91
6,Lil Baby,The Bigger Picture,3,1,3,44gRhRi2OhEf7moAUj6MD1,1.0,86
7,Roddy Ricch,The Box,1,1,30,0nbXyq5TXYPCO7pr3N8S4I,1.0,94
8,Maren Morris,The Bones,12,3,41,7yFhA2fUsL2oIMWlw5DaHQ,0.0,76
9,Trevor Daniel,Falling,17,4,33,4TnjEaWOeW0eKTKIEvJyCa,0.0,90
10,Dua Lipa,Break My Heart,20,4,14,1raaNykBg1bDnWENUiglUA,0.0,88
11,Gabby Barrett,I Hope,16,4,27,23T0OX7QOiIUFShSzbJ5Uo,0.0,73
12,Luke Bryan,One Margarita,22,5,9,6NhS5LwYbJ6xD7BGvlWRJO,0.0,78
13,Surfaces,Sunday Best,19,4,18,1Cv1YLb4q0RzL6pybtaMLo,0.0,92
14,Lewis Capaldi,Before You Go,25,5,22,7ce20yLkzuXXLUhzIDoZih,0.0,88
15,Drake,Toosie Slide,1,1,13,127QTOFJsJQp5LbJbu3A1y,1.0,93
16,Sam Hunt,Hard To Forget,26,6,14,10xuH52YSXHWFwCaF1fsDd,0.0,75
17,Megan Thee Stallion,Girls In The Hood,28,6,1,6WbTTAGKrQtCQvmc5BuYfh,1.0,78
18,StaySolidRocky,Party Girl,21,5,10,5RqR4ZCCKJDcBLIn4sih9l,0.0,94
19,Chris Brown & Young Thug,Go Crazy,30,6,8,1IIKrJVP1C9N7iPtG6eOsK,1.0,87
20,Morgan Wallen,Chasin' You,16,4,23,5MwynWK9s4hlyKHqhkNn4A,0.0,81
21,BLACKPINK,How You Like That,33,7,1,3vAn0qZzdyuHamcrpkfiX3,0.0,89
22,Miranda Lambert,Bluebird,33,7,13,0kPeZAyIhIfeZNrtfjJGDB,0.0,76
23,Lil Baby,Emotionally Scarred,31,7,18,7ge7BHazYbVKi8qyZUX1Bm,1.0,82
24,Maroon 5,Memories,2,1,41,2b8fOow8UzyDFAE27YhOZM,0.0,90
25,Blake Shelton Duet With Gwen Stefani,Nobody But You,18,4,25,5M8goiFYynmNxhueYW6grR,0.0,75
26,Pop Smoke,Dior,30,6,20,79s5XnCN4TJKTVMSmOx8Ep,1.0,85
27,Maddie & Tae,Die From A Broken Heart,45,9,12,1kFpL1itkwkdhO6kcmNJra,0.0,73
28,blackbear,Hot Girl Bummer,11,3,42,7aiClxsDWFRQ0Kzk5KI5ku,1.0,87
29,Kenny Chesney,Here And Now,38,8,13,7qRVyZDt1Caftkk8CQlKtk,0.0,73
30,Florida Georgia Line,I Love My Country,48,10,11,5blHL2xSCGv00fr1DGuvEf,0.0,73
31,Jason Aldean,Got What I Got,52,11,5,4TCc369aRPRubv1m8R1TBG,0.0,76
32,6ix9ine,Gooba,3,1,8,4NhDYoQTYCdWHTvlbGVgwo,1.0,92
33,Scotty McCreery,In Between,53,11,12,2IuazAsyvbb3fFZb0Uvsmk,0.0,72
34,Jhene Aiko,P*$$y Fairy (OTW),40,8,24,48KXAIruJ07kJVCWOGohMV,1.0,74
